lore_text,mechanics_text
"Namtar — Heroes of Oath/Eye Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Oath/Eye sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Zari — Heroes of Veil/Oath Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Veil/Oath sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Maskat — Heroes of Veil/Eye Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Eresh — Heroes of Wind/Stone Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Wind/Stone sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Shulgi — Heroes of Eye/Veil Duality.
A rare presence whose choices bend the battlefield toward fate.
Iconography: Eye/Veil sigils, attire marked by duty.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit; may act early if morale > 3.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Whipbearer — Grunts of Stone/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Spear Watch — Grunts of Veil/Wind Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Wind sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Bronze Shield — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Tax Enforcer — Grunts of Veil/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Chain Keeper — Grunts of Wind/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Pit Houndmaster — Grunts of Wind/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Ash Novice — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Blood Acolyte — Grunts of Wind/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Chanter Priest — Grunts of Veil/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Knife Zealot — Grunts of Oath/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Desert Jackal — Grunts of Veil/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"River Raider — Grunts of Oath/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Marsh Cutthroat — Grunts of Eye/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Ash Rider — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Canal Thief — Grunts of Veil/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Bone Jackal — Grunts of Eye/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Reed Serpent — Grunts of Eye/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Ash Scorpion — Grunts of Oath/Wind Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Wind sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Sand Hyena — Grunts of Eye/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Bog Crocodile — Grunts of Veil/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Mud Rat — Grunts of Stone/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Stone/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Sewer Leech — Grunts of Wind/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Corpse Beetle — Grunts of Stone/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Stone/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Glass Mite — Grunts of Eye/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Pit Ghoul — Grunts of Eye/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Lash Captain — Grunts of Wind/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Pike Slave — Grunts of Eye/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Shield Twins — Grunts of Veil/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Whip Sergeant — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Slave Hunter — Grunts of Wind/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Dog Breaker — Grunts of Eye/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Ledger Bearer — Grunts of Stone/Wind Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Stone/Wind sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Pit Jailer — Grunts of Wind/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Fire Ashling — Grunts of Oath/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Bone Eater — Grunts of Eye/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Crimson Youth — Grunts of Eye/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Chant Twins — Grunts of Oath/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Idol Servant — Grunts of Oath/Wind Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Wind sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Hill Raider — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Oasis Thief — Grunts of Veil/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Caravan Breaker — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Dust Rider — Grunts of Veil/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Night Prowler — Grunts of Eye/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Eye/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Desert Vulture — Grunts of Veil/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Marsh Toad — Grunts of Oath/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Fire Beetle — Grunts of Oath/Wind Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Wind sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Ash Rat — Grunts of Oath/Veil Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Veil sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Sand Wormling — Grunts of Wind/Eye Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Eye sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Plague Bat — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Slime Lizard — Grunts of Veil/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Rust Mite — Grunts of Veil/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Tunnel Spider — Grunts of Oath/Stone Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Stone sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Shadow Eel — Grunts of Veil/Wind Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Wind sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Sludge Slime — Grunts of Oath/Wind Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Oath/Wind sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Filth King — Grunts of Veil/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Veil/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
"Rust Slug — Grunts of Wind/Oath Duality.
A low presence whose choices bend the battlefield toward fate.
Iconography: Wind/Oath sigils, attire marked by duty.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Slightly reduces opening damage; rarely acts first.
• Use 🛡️ Guard to soak the opener, then counter.
• Save ⚔️ First Strike for fragile or key targets.
• Pair with morale or positioning buffs before engaging."
