card_id,card_name,field,reason,recommended_source
36,Anu the Exarch of Heaven,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
37,Void Knight King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
38,Void King Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
39,Void Inquisitor King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
40,Void Herald King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
41,Void Exarch King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
42,Void Devourer King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
43,Void Centurion King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
44,Void Augur King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
45,Skullcrusher King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
46,Siege Idol King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
47,Shard Brute King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
48,Shadow Hulk King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
49,Shadow Assassin Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
50,Sandstorm Prophet Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
51,Sandstorm Khan Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
52,Rune Pontiff King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
53,Rune Marshal King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
54,Rune Khan King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
55,Rune Exarch King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
56,Rune Captain King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
57,Red Khan Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
58,Prism Lancer King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
59,Pit King Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
60,Pit Beastmaster King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
61,Pharaoh of Chains,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
62,Oil Hydra King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
63,Obsidian Lion King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
64,Obsidian Berserker King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
65,Obelisk Warden King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
66,Obelisk General King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
67,Oath Leviathan Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
68,Oath Champion Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
69,Moonspawn Horror King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
70,Masked Warlord King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
71,Masked Champion Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
72,Marsh Leviathan,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
73,Lunar Abomination Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
74,Ironclad Gladiator King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
75,Iron Juggernaut King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
76,Idol Colossus,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
77,Hollow Bishop King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
78,Hollow Beast King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
79,Halo Seraphim Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
80,Halo Seraph Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
81,Halo Regent Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
82,Halo Prelate Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
83,Halo Praetor Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
84,Halo Paladin Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
85,Halo Exemplar Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
86,Halo Commander Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
87,Golden Strategos Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
88,Golden Strategist Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
89,Glyph Knight King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
90,Gleam Sorcerer Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
91,Fire Ram King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
92,Ember Prophet King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
93,Ember Lord King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
94,Eclipse Wraith Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
95,Eclipse Warlock Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
96,Eclipse Hierarch,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
97,Dust Wraith Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
98,Dust Titan King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
99,Dune Chieftain King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
100,Crystal Vanguard King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
101,Crystal Stalker Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
102,Crystal Reaver King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
103,Crystal Knight Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
104,Crystal General King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
105,Crystal Colossus King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
106,Crimson Prophetess Queen,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
107,Crimson Pontiff King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
108,Crimson Khan King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
109,Crimson Horror King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
110,Crimson Duelmaster Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
111,Crimson Champion Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
112,Crimson Abomination Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
113,Crescent Duelist Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
114,Crater Brute King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
115,Chainfighter King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
116,Chained Seer King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
117,Chain Warlord King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
118,Chain Pontiff Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
119,Chain Marshal Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
120,Chain Hierophant Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
121,Canyon Marauder King Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
122,Canyon Lord King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
123,Bronze Pitlord King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
124,Bronze Juggernaut,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
125,Bonebreaker Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
126,Bone Raider Lord King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
127,Bone Gladiator King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
128,Bone Colossus King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
129,Bone Chieftain King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
130,Bone Chariot Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
131,Bloodspiller Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
132,Blood Prophet King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
133,Blood Oracle Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
134,Blood Moon Prophet Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
135,Blood Matron Queen,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
136,Blood Hierophant Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
137,Blood Arena Lord King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
138,Blade Dancer Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
139,Ashen Oracle Queen,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
140,Ash Titan King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
141,Ash Priest King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
142,Ash Oracle Queen,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
143,Ash Nomad Chieftain King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
144,Ash Lord King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
145,Ash Leviathan King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
146,Ash High Priest King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
147,Ash Hierarch Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
148,Ash Gladiator Lord King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
149,Ash Demon Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
150,Ash Bishop Queen,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
151,Ash Binder Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
152,Arena Juggernaut King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
153,Warden of Chains,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
154,Void Serpent,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
155,Void Horror King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
156,Sandstorm Avatar,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
157,Sand Serpent,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
158,Rune Goliath,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
159,Prophet of Eclipse,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
160,Obelisk Avatar,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
161,Oath Titan,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
162,Hollow Seraph,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
163,Halo Warden,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
164,Halo Ascendant,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
165,Glyph Titan,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
166,Glyph Behemoth,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
167,Dust Wraith King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
168,Crystal Tyrant,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
169,Crystal Leviathan,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
170,Crimson Prophet King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
171,Crimson Juggernaut,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
172,Crimson Beast,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
173,Canyon Titan,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
174,Bone Hydra,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
175,Bone Goliath,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
176,Blood Moon Avatar,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
177,Ash Titan Lord,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
178,Ash Revenant King,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
179,Ash Colossus,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
180,Royal Pardon,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
181,Sun-Script Overload,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
182,Public Reckoning,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
183,Forced Testimony,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
184,Condemnation Seal,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
185,Writ of Seizure,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
186,River Evacuation,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
187,Night Market Clause,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
188,Mercy Docket,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
189,Emergency Rationing,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
190,Censor Audit,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
191,Festival Truce,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
192,Dust Court Recess,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
193,Convoy Priority,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
194,Boundary Fine,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
195,Void Appeal,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
196,Witness Noon,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
197,Weight of Kingship,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
198,Quiet Graves,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
199,Broken Oath,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
200,Two Suns,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
201,Red Distance,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
202,Heavy Crowns,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
203,Closed Gate,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
204,Swift Shadow,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
205,Salt Covenant,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
206,Hearth Amnesty,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
207,Glass Mercy,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
208,Far Ear,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
209,Open Ledger,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
210,Destiny Archive Vault,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
211,Star Bell Harbor,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
212,Oath Chain Dais,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
213,Shard Plateau Blind,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
214,Mirror Archive,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
215,Halo Terrace,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
216,Bitumen Furnace,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
217,Witness Square,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
218,Warfield Basin,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
219,Sanctuary Court,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
220,Reed Lock,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
221,Clause Pike,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
222,Threshold Stair,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
223,Dust Gate,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
224,Basalt Quay,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
225,Archive Prism,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
226,Shardwheel Engine,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
227,Null Cantor,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
228,Ledger Rewrite,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
229,Gravity Lance,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
230,Trial Chain,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
231,Sunscript Censer,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
232,Kudurru Nail,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
233,Ashen Hourglass,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
234,Witness Bell,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
235,Sirocco Bracer,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
236,Sealbreaker Awl,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
237,Reedglass Lens,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
238,Mirror Hook,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
239,Bitumen Harness,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
240,Gate Viper,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
241,Halo Pup,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
242,Grave Moth,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
243,River Lynx,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
244,Pearl Kite,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
245,Ink Crow,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
246,Shard Bat,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
247,Seal Hound,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
248,Quarry Jackal Pup,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
249,Lantern Gecko,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
250,Bitumen Tortoise,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
251,Tablet Finch,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
252,Reed Cat,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
253,Oath Beetle,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
254,Dust Mite,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
255,Adamu,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
256,Zari,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
257,Zaleth,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
258,Urid,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
259,Tammuz,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
260,Shulgi,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
261,Rook,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
262,Namtar,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
263,Nammu,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
264,Maskat,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
265,Irik,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
266,Iltu,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
267,Etana,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
268,Eresh,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
269,Ashur,cost_*,Legacy source pack does not provide structured play-cost fields for this row.,card design review / rules text normalization
