card_id,card_slug,card_name,set_code,card_number,version_code,is_reprint,source_card_id,card_family,owner_faction,rarity,subtype_primary,subtype_secondary,trait_tags,keyword_tags,is_collectible,is_standard_legal,scenario_only,tutorial_only,is_unique,is_legendary,deck_copy_limit,requires_faction_lock,allowed_splash,legal_player_counts,cost_sinew,cost_sigil,cost_oath,upkeep_oath,cost_scaling_rule,cost_scaling_value,heat_cost,stone,veil,authority,vitality,guard,first_strike,initiative,can_attack,can_support,support_value_rule,wound_threshold,supports_wounded_state,supports_downed_state,supports_bound_state,supports_defeated_state,downed_marker_type,counts_for_field_control_when_downed,counts_for_field_control_when_defeated,occupies_slot_when_downed,occupies_slot_when_defeated,targetable_when_downed,targetable_when_defeated,capturable_when_downed,capturable_when_defeated,auto_restore_rounds_if_defeated,defeated_restore_destination_primary,defeated_restore_destination_fallback,play_timing,timing_class,legal_zones_to_play_from,enters_play_zone,leaves_play_default_destination,trigger_windows,resolution_priority_group,requires_target,target_rule_ref,can_be_played_during_opponent_turn,consumes_play_action,mark_reward_capture,mark_reward_plain_defeat,mark_reward_name_seizure,mark_reward_site_raid,mark_reward_arbitration_no_seizure,score_overlap_rule,is_name_object,is_edict_object,heat_on_install,heat_on_rewrite_rule,heat_on_support,heat_spend_allowed,heat_spend_use_tags,arbitration_bid_enabled,arbitration_success_options,arbitration_tie_rule,supports_injunctions,field_relevance,line_relevance,geasa_relevance,field_tag_affinity,site_control_relevant,objective_control_relevant,ready_combat_unit_for_control,blocks_slot_when_present,boss_trial_required,boss_trial_axes_required,boss_trial_repeat_counts,boss_capturable_before_trial_complete,boss_stance_start,boss_stance_progression,boss_has_aura,boss_has_retaliation,boss_mark_reward_capture,site_type,site_raid_enabled,raid_condition_ref,raid_reward_marks,site_generates_sigil_income,name_scope,name_persistent,name_install_heat,name_rewrite_heat_rule,name_arbitrable,edict_one_shot,edict_window_tags,edict_persists_after_resolution,host_sigil_unique_slot,host_sigil_control_relevant,host_sigil_generates_sigil_income,pet_support_specialist,pet_faceoff_eligible,relic_persistent,relic_row_slot_type,rules_text,rules_summary_short,lore_text,ui_badge_tags,search_tags,art_prompt_ref,render_template_ref,asset_package_ref,front_visual_family,back_visual_family,ultra_visual_override,export_enabled
11,solar-juror,Solar Juror,KK1,11,base,False,,HostSigil,SkyloomTemple,Rare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. Once per round, win ties on Oath or Eye Tests.",Invoke for 2 rounds.,Its halo is less light than decision made visible.,"HostSigil,Rare","Solar Juror,HostSigil,Rare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
12,moon-barge-apparition,Moon Barge Apparition,KK1,12,base,False,,HostSigil,FloodbornPact,Rare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,True,False,True,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. Once per round, move one friendly unit between Fields without triggering Geas.",Invoke for 2 rounds.,A ferry made from reflected tides and overdue prayers.,"HostSigil,Rare","Moon Barge Apparition,HostSigil,Rare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
13,lion-of-the-threshold,Lion of the Threshold,KK1,13,base,False,,HostSigil,BorderstoneGuild,Rare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,True,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,Invoke for 2 rounds. Enemies crossing your Line lose 1 Oath.,Invoke for 2 rounds.,No door likes to be tested after this one appears.,"HostSigil,Rare","Lion of the Threshold,HostSigil,Rare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
14,fish-apkallu-echo,Fish-Apkallu Echo,KK1,14,base,False,,HostSigil,UnderwellKeepers,Rare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,False,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. Once each turn, clear Silence from a friendly unit or Name.",Invoke for 2 rounds.,It rises from water already remembering the solution.,"HostSigil,Rare","Fish-Apkallu Echo,HostSigil,Rare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
15,basalt-ferryman,Basalt Ferryman,KK1,15,base,False,,HostSigil,BorderstoneGuild,Rare,,,Host Sigils,,True,True,False,False,True,False,1,False,True,"1,2,3,4",0,0,0,1,,,0,0,0,0,0,0,False,0,False,False,,0,False,False,False,False,,False,False,False,False,False,False,False,False,0,,,Main,Action,Hand,HostSlot,Discard,,0,False,,False,True,0,0,0,0,0,HigherSingleReward,False,False,0,,0,False,,False,,,False,True,False,False,,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,"Invoke for 2 rounds. After a friendly Displace, you may move the same unit into another friendly Field.",Invoke for 2 rounds.,Not every ferryman serves the living.,"HostSigil,Rare","Basalt Ferryman,HostSigil,Rare,Host Sigils",,card front.png,card_images.zip,back_color_host_sigil.png,back_background.png,False,True
16,void-augur-the-hollow-prophet,"Void Augur, the Hollow Prophet",KK1,16,base,False,,Boss,BorderstoneGuild,Legendary,major_boss,Crocavine,"Kingdom-bosses,major_boss,Crocavine,Kingdom-bosses",,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,25,,,0,8,11,6,2,0,False,5,True,True,HalfRoundedUp,3,True,True,True,True,Flip,False,False,True,True,True,False,True,False,2,Hand,Deck,Main,Action,Hand,Field,StayFieldDefeated,,0,False,,False,True,2,0,0,0,0,HigherSingleReward,False,False,0,,-1,False,,False,,,False,False,False,False,,False,False,True,True,3.0,"Stone,Veil,Authority",False,False,Guarded,"Guarded,Ascendant,Wrathful,Exposed",False,False,2.0,,,,,,,,,,,,,,,,,,,,,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.","Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,"Boss,Legendary,major_boss","Void Augur, the Hollow Prophet,Boss,Legendary,Kingdom-bosses,Crocavine,Kingdom-bosses",,card front.png,card_images.zip,back_color_boss.png,back_background.png,False,True
17,sandstorm-khan-the-desert-lord,"Sandstorm Khan, the Desert Lord",KK1,17,base,False,,Boss,Fateforge,Legendary,major_boss,Ashling,"Kingdom-bosses,major_boss,Ashling,Kingdom-bosses",,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,24,,,0,5,4,10,2,0,False,5,True,True,HalfRoundedUp,3,True,True,True,True,Flip,False,False,True,True,True,False,True,False,2,Hand,Deck,Main,Action,Hand,Field,StayFieldDefeated,,0,False,,False,True,2,0,0,0,0,HigherSingleReward,False,False,0,,-1,False,,False,,,False,False,False,False,,False,False,True,True,3.0,"Stone,Veil,Authority",False,False,Guarded,"Guarded,Ascendant,Wrathful,Exposed",False,False,2.0,,,,,,,,,,,,,,,,,,,,,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.","Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 rec",,"Boss,Legendary,major_boss","Sandstorm Khan, the Desert Lord,Boss,Legendary,Kingdom-bosses,Ashling,Kingdom-bosses",,card front.png,card_images.zip,back_color_boss.png,back_background.png,False,True
18,river-titan-the-flood-king,"River Titan, the Flood King",KK1,18,base,False,,Boss,SkyloomTemple,Legendary,major_boss,Covenant,"Kingdom-bosses,major_boss,Covenant,Kingdom-bosses",,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,21,,,0,6,8,5,2,0,False,5,True,True,HalfRoundedUp,3,True,True,True,True,Flip,False,False,True,True,True,False,True,False,2,Hand,Deck,Main,Action,Hand,Field,StayFieldDefeated,,0,False,,False,True,2,0,0,0,0,HigherSingleReward,False,False,0,,-1,False,,False,,,False,False,False,False,,False,False,True,True,3.0,"Stone,Veil,Authority",False,False,Guarded,"Guarded,Ascendant,Wrathful,Exposed",False,False,2.0,,,,,,,,,,,,,,,,,,,,,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.","Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 r",,"Boss,Legendary,major_boss","River Titan, the Flood King,Boss,Legendary,Kingdom-bosses,Covenant,Kingdom-bosses",,card front.png,card_images.zip,back_color_boss.png,back_background.png,False,True
19,pharaoh-of-chains-the-eternal,"Pharaoh of Chains, the Eternal",KK1,19,base,False,,Boss,SkyloomTemple,Legendary,major_boss,Hydran,"Kingdom-bosses,major_boss,Hydran,Kingdom-bosses",,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,20,,,0,4,9,4,2,0,False,5,True,True,HalfRoundedUp,3,True,True,True,True,Flip,False,False,True,True,True,False,True,False,2,Hand,Deck,Main,Action,Hand,Field,StayFieldDefeated,,0,False,,False,True,2,0,0,0,0,HigherSingleReward,False,False,0,,-1,False,,False,,,False,False,False,False,,False,False,True,True,3.0,"Stone,Veil,Authority",False,False,Guarded,"Guarded,Ascendant,Wrathful,Exposed",False,False,2.0,,,,,,,,,,,,,,,,,,,,,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.","Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 r",,"Boss,Legendary,major_boss","Pharaoh of Chains, the Eternal,Boss,Legendary,Kingdom-bosses,Hydran,Kingdom-bosses",,card front.png,card_images.zip,back_color_boss.png,back_background.png,False,True
20,obsidian-berserker-the-black-king,"Obsidian Berserker, the Black King",KK1,20,base,False,,Boss,UnderwellKeepers,Legendary,major_boss,Sludgine,"Kingdom-bosses,major_boss,Sludgine,Kingdom-bosses",,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,28,,,0,5,5,12,2,0,False,5,True,True,HalfRoundedUp,3,True,True,True,True,Flip,False,False,True,True,True,False,True,False,2,Hand,Deck,Main,Action,Hand,Field,StayFieldDefeated,,0,False,,False,True,2,0,0,0,0,HigherSingleReward,False,False,0,,-1,False,,False,,,False,False,False,False,,False,False,True,True,3.0,"Stone,Veil,Authority",False,False,Guarded,"Guarded,Ascendant,Wrathful,Exposed",False,False,2.0,,,,,,,,,,,,,,,,,,,,,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.","Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 rec",,"Boss,Legendary,major_boss","Obsidian Berserker, the Black King,Boss,Legendary,Kingdom-bosses,Sludgine,Kingdom-bosses",,card front.png,card_images.zip,back_color_boss.png,back_background.png,False,True
21,oath-champion-the-covenant-king,"Oath Champion, the Covenant King",KK1,21,base,False,,Boss,SkyloomTemple,Legendary,major_boss,Slugborn,"Kingdom-bosses,major_boss,Slugborn,Kingdom-bosses",,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,20,,,0,5,9,4,2,0,False,5,True,True,HalfRoundedUp,3,True,True,True,True,Flip,False,False,True,True,True,False,True,False,2,Hand,Deck,Main,Action,Hand,Field,StayFieldDefeated,,0,False,,False,True,2,0,0,0,0,HigherSingleReward,False,False,0,,-1,False,,False,,,False,False,False,False,,False,False,True,True,3.0,"Stone,Veil,Authority",False,False,Guarded,"Guarded,Ascendant,Wrathful,Exposed",False,False,2.0,,,,,,,,,,,,,,,,,,,,,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.","Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 r",,"Boss,Legendary,major_boss","Oath Champion, the Covenant King,Boss,Legendary,Kingdom-bosses,Slugborn,Kingdom-bosses",,card front.png,card_images.zip,back_color_boss.png,back_background.png,False,True
22,masked-champion-the-golden-face,"Masked Champion, the Golden Face",KK1,22,base,False,,Boss,UnderwellKeepers,Legendary,major_boss,Toadkin,"Kingdom-bosses,major_boss,Toadkin,Kingdom-bosses",,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,27,,,0,5,5,8,2,0,False,9,True,True,HalfRoundedUp,3,True,True,True,True,Flip,False,False,True,True,True,False,True,False,2,Hand,Deck,Main,Action,Hand,Field,StayFieldDefeated,,0,False,,False,True,2,0,0,0,0,HigherSingleReward,False,False,0,,-1,False,,False,,,False,False,False,False,,False,False,True,True,3.0,"Stone,Veil,Authority",False,False,Guarded,"Guarded,Ascendant,Wrathful,Exposed",False,False,2.0,,,,,,,,,,,,,,,,,,,,,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.","Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoi",,"Boss,Legendary,major_boss","Masked Champion, the Golden Face,Boss,Legendary,Kingdom-bosses,Toadkin,Kingdom-bosses",,card front.png,card_images.zip,back_color_boss.png,back_background.png,False,True
23,marsh-leviathan-the-drowned-queen,"Marsh Leviathan, the Drowned Queen",KK1,23,base,False,,Boss,FloodbornPact,Legendary,major_boss,Automata,"Kingdom-bosses,major_boss,Automata,Kingdom-bosses",,True,True,False,False,True,True,1,False,True,"1,2,3,4",0,0,0,26,,,0,5,6,9,2,0,False,9,True,True,HalfRoundedUp,3,True,True,True,True,Flip,False,False,True,True,True,False,True,False,2,Hand,Deck,Main,Action,Hand,Field,StayFieldDefeated,,0,False,,False,True,2,0,0,0,0,HigherSingleReward,False,False,0,,-1,False,,False,,,False,False,False,False,,False,False,True,True,3.0,"Stone,Veil,Authority",False,False,Guarded,"Guarded,Ascendant,Wrathful,Exposed",False,False,2.0,,,,,,,,,,,,,,,,,,,,,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.","Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoi",,"Boss,Legendary,major_boss","Marsh Leviathan, the Drowned Queen,Boss,Legendary,Kingdom-bosses,Automata,Kingdom-bosses",,card front.png,card_images.zip,back_color_boss.png,back_background.png,False,True
