card_id,name,rarity,stone,wind,veil,oath,eye,weight,upkeep,total,rules_text,section,Column1
56,Caravan Breaker,low,2,1,1,2,1,2,0,2,"Heavily armed, desert cloak.",GRUNTS,
57,Dust Rider,low,0,1,2,1,1,2,0,2,Mounted on skeletal horse.,GRUNTS,
58,Night Prowler,low,1,1,0,0,2,1,0,1,"Dark garb, glowing yellow eyes.",GRUNTS,
59,Desert Vulture,low,1,0,2,1,1,2,0,2,Giant carrion bird.,GRUNTS,
60,Marsh Toad,low,1,0,1,2,1,2,0,2,"Bloated, warty giant toad.",GRUNTS,
61,Fire Beetle,low,1,2,0,2,0,2,0,2,Beetle with glowing ember shell.,GRUNTS,
62,Ash Rat,low,0,1,2,2,1,2,0,2,Rat with glowing red eyes.,GRUNTS,
63,Sand Wormling,low,1,2,0,1,1,2,0,2,Small dune-burrowing worm.,GRUNTS,
64,Plague Bat,low,1,0,1,2,0,1,0,1,Diseased winged bat.,GRUNTS,
65,Slime Lizard,low,1,1,2,0,0,1,0,1,"Slick, glowing amphibian.",GRUNTS,
66,Rust Mite,low,0,0,3,2,0,2,0,2,Metallic-eating insect swarm.,GRUNTS,
67,Tunnel Spider,low,1,1,0,1,0,1,0,1,Hairy cave spider.,GRUNTS,
68,Shadow Eel,low,1,2,3,0,1,2,0,2,Black eel with glowing eyes.,GRUNTS,
69,Sludge Slime,low,1,2,1,3,0,2,0,2,Amorphous green ooze.,GRUNTS,
70,Filth King,low,0,1,3,2,0,2,0,2,Massive rat swarm bound together.,GRUNTS,
71,Rust Slug,low,0,3,0,2,0,2,0,2,Iron-shelled slug.,GRUNTS,
72,Canal Lamprey,low,1,1,3,1,1,2,0,2,Lamprey with barbed maw.,GRUNTS,
73,Bone Centipede,low,0,2,1,2,0,2,0,2,White segmented beast with bone plates.,GRUNTS,
74,Fungus Creeper,low,0,0,1,0,1,1,0,1,Humanoid fungus growth.,GRUNTS,
75,Cistern Horror,low,1,1,0,2,1,2,0,2,Gigantic slime amalgamation.,GRUNTS,
76,Iron Lash,low,2,0,1,1,1,2,0,2,"Muscular captain clad in bronze scale, wielding spiked whip.",GRUNTS,
77,Bronze Spear,low,0,1,0,3,1,2,0,2,"Veteran soldier, ornate bronze spear tipped with obsidian.",GRUNTS,
78,Gold Captain,low,1,1,2,0,1,2,0,2,"Bronze armor with gilded mask, whip and short sword.",GRUNTS,
79,Ash Priest,low,0,2,0,2,1,2,0,2,Tall priest with ash veil.,GRUNTS,
80,Blood Evoker,low,0,3,1,1,0,2,0,2,Gaunt priest with bleeding hands.,GRUNTS,
81,Hymncaller Priest,low,0,2,0,3,0,2,0,2,Chanting priestess with bone chimes.,GRUNTS,
82,River Wolf,low,1,3,2,1,0,2,0,2,"Painted in blue tattoos, wolf pelt cloak.",GRUNTS,
83,Desert Hawk,low,1,2,1,3,1,3,1,4,"Bronze-feather cloak, hawk mask.",GRUNTS,
84,Marsh Stalker,low,1,1,1,2,3,3,1,4,"Reed armor, body smeared with swamp mud.",GRUNTS,
85,Jackal Alpha,low,0,0,0,2,2,2,0,2,Oversized jackal with scarred muzzle.,GRUNTS,
86,Serpent Queen,low,1,3,1,0,0,2,0,2,Massive reed serpent crowned with bone frill.,GRUNTS,
87,Scorpion King,low,1,0,1,1,1,1,0,1,Huge black scorpion with molten veins.,GRUNTS,
88,Hyena Matron,low,1,1,0,1,2,2,0,2,Enormous matriarch hyena.,GRUNTS,
89,Ink Tongue,low,2,1,1,2,1,2,0,2,Mouth stained black with cursed ink.,GRUNTS,
90,Dust Librarian,low,1,1,0,1,0,1,0,1,Hooded scribe with sand-dusted scrolls.,GRUNTS,
91,Cuneiform Shade,low,1,3,1,3,1,3,1,4,Shadowy form covered in glowing glyphs.,GRUNTS,
92,Bronze Automaton,low,0,1,2,2,1,2,0,2,Clunky humanoid frame of bronze gears.,GRUNTS,
93,Chain Thrower,low,1,0,1,0,3,2,0,2,Siege operator with twin hook launchers.,GRUNTS,
94,Siege Ox,low,1,0,3,0,1,2,0,2,Armored oxen bred for war.,GRUNTS,
95,Fire Bearer,low,1,1,0,3,3,3,1,4,Slave-soldier carrying pots of burning oil.,GRUNTS,
96,Obsidian Helm,low,1,2,1,1,2,2,0,2,"Dark helmet forged of obsidian, ornate crimson cloak.",GRUNTS,
97,Chain Marshal,low,1,0,3,0,3,3,1,4,"Overseer in blackened bronze, chains wrapped as armor.",GRUNTS,
98,Ash Oracle,low,0,1,1,2,2,2,0,2,Blindfolded woman covered in soot.,GRUNTS,
99,Blood Prophet,low,1,1,1,2,3,3,1,4,"Emaciated, red tattoos across chest.",GRUNTS,
100,Bone Choir,low,2,0,0,2,1,2,0,2,Trio of skeletal singers bound together.,GRUNTS,
101,Hill Ram,low,1,1,2,1,1,2,0,2,Mountain champion with ram horns and stone hammer.,GRUNTS,
102,Desert Viper,low,1,1,1,1,2,2,0,2,"Painted in green sands, snake totems.",GRUNTS,
103,River Titan,low,1,0,0,1,3,2,0,2,"Colossal warrior clad in fishbone armor, wielding trident.",GRUNTS,
104,Crocodile Warlord,low,0,2,0,1,2,2,0,2,Oversized armored crocodile.,GRUNTS,
105,Vulture Queen,low,1,2,0,2,1,2,0,2,Enormous carrion bird with bone crown.,GRUNTS,
106,Frog Mother,low,1,2,0,2,0,2,0,2,Towering amphibian with glowing throat sac.,GRUNTS,
107,Desert Boar,low,0,0,2,0,3,2,0,2,"Tusks of obsidian, armor of sandstone.",GRUNTS,
108,Tablet Binder,low,1,1,2,3,1,3,1,4,Emaciated scholar fused to clay tablet.,GRUNTS,
109,Sand Archivist,low,0,1,0,1,1,1,0,1,"Cloaked, carrying sand-filled scrolls.",GRUNTS,
110,Word Eater,low,0,2,0,2,1,2,0,2,Hollow-mouthed figure with glowing runes.,GRUNTS,
111,Iron Juggernaut,low,0,1,2,3,0,2,0,2,"Gladiator clad in iron plates, massive hammer.",GRUNTS,
112,Fire Ram,low,1,1,2,0,0,1,0,1,Wooden ram wrapped in burning oil.,GRUNTS,
113,Bone Chariot,low,2,1,1,2,0,2,0,2,"Chariot built from bones, pulled by skeletal oxen.",GRUNTS,
114,Siege Idol,low,0,3,0,1,1,2,0,2,Massive idol animated by cult.,GRUNTS,
115,Oil Hydra,low,0,1,1,2,0,1,0,1,Multi-headed automaton spewing burning oil.,GRUNTS,
116,Oath Singer,low,0,1,0,1,3,2,0,2,Robed figure with scrolls bound to arms.,GRUNTS,
117,Tax Shade,low,2,2,1,1,0,2,0,2,"Phantom in tattered robes, clutching tablets.",GRUNTS,
118,Ash Binder,low,0,3,0,3,1,3,1,4,Thin figure coated in grey ash.,GRUNTS,
119,Mirror Reed,low,0,2,1,1,0,1,0,1,"Shimmering reed armor, reflective water mask.",GRUNTS,
120,Sand Mirage,low,1,3,0,1,2,2,0,2,Cloaked desert nomad with glowing eyes.,GRUNTS,
121,Echo Voice,low,0,0,1,1,2,1,0,1,"Mouth painted black, surrounded by whispers.",GRUNTS,
122,Scorpion Alchemist,low,1,2,1,0,1,2,0,2,"Hooded with vials, scorpion tattoo on face.",GRUNTS,
123,Reed Brewmaster,low,2,0,1,1,1,2,0,2,Reed-wrapped figure with gourds.,GRUNTS,
124,Toxin Whisperer,low,1,2,1,1,0,2,0,2,Thin robed figure with green smoke trailing mouth.,GRUNTS,
125,Bone Caller,low,2,1,2,1,1,2,0,2,Wears necklace of skulls.,GRUNTS,
126,Idol Chanter,low,0,2,1,0,0,1,0,1,Chained to idol fragments.,GRUNTS,
127,Blood Keeper,low,1,2,1,2,0,2,0,2,"Figure covered in red runes, clay tablets strapped to chest.",GRUNTS,
128,Trap Setter,low,0,0,1,1,1,1,0,1,Ragged worker with rope and spikes.,GRUNTS,
129,Fire Sapper,low,2,1,2,0,0,2,0,2,"Blackened armor, oil canisters on belt.",GRUNTS,
130,Collapse Worker,low,0,1,0,3,1,2,0,2,"Covered in dust, carrying chisels.",GRUNTS,
131,Plague Drummer,low,0,1,0,1,3,2,0,2,"Carries bone drums, pustules covering skin.",GRUNTS,
132,Ember Masker,low,2,0,2,1,1,2,0,2,Wears mask of burning ember wood.,GRUNTS,
133,Soul Drinker,low,1,1,2,3,0,2,0,2,Hollow-eyed cultist with black smoke rising.,GRUNTS,
134,Glass Weaver,low,2,1,2,0,0,2,0,2,Shards embedded in flesh.,GRUNTS,
135,Tomb Scrivener,low,1,3,1,2,0,2,0,2,Scribe chained to gravestones.,GRUNTS,
136,Shadow Binder,low,0,0,2,1,0,1,0,1,"Dark robes, shadow tendrils sprouting.",GRUNTS,
137,Idol Puppeteer,low,1,2,1,2,1,2,0,2,Masked figure with strings of bone.,GRUNTS,
138,Sand Oracle,low,0,1,2,2,1,2,0,2,Cloaked desert mystic with sand swirling around.,GRUNTS,
139,Blood Plucker,low,1,2,0,0,2,2,0,2,Cloaked with sharp talons.,GRUNTS,
140,Furnace Caller,low,1,0,2,2,0,2,0,2,Cloaked cultist glowing red from within.,GRUNTS,
141,Golden Whip,low,3,0,2,0,0,2,0,2,"Overseer clad in gilded armor, wielding massive golden whip.",GRUNTS,
142,High Priest,low,0,1,2,0,1,1,0,1,"Towering figure in red-ash robes, mask of charred bone.",GRUNTS,
143,River Warlord,low,0,2,2,1,1,2,0,2,"Armored raider leader, reed-boat fleet commander.",GRUNTS,
144,Scorpion Queen,low,1,1,1,1,2,2,0,2,Colossal scorpion with glowing molten carapace.,GRUNTS,
145,Sand Golem,low,2,2,1,1,1,2,0,2,Humanoid colossus of shifting sand and stone.,GRUNTS,
146,Idol Shade,low,2,1,1,0,1,2,0,2,Tall ghost bound to broken idol fragments.,GRUNTS,
147,Reed Leviathan,low,3,0,1,3,1,3,1,4,Massive serpent dwelling in marsh canals.,GRUNTS,
148,Oathkeeper Ghost,low,1,1,3,0,2,2,0,2,Spirit judge wrapped in glowing Kudran glyphs.,GRUNTS,
149,Bronze Colossus,low,1,0,2,1,1,2,0,2,Towering bronze automaton with war axe.,GRUNTS,
150,Marsh Phantom,low,1,3,1,1,1,2,0,2,Pale wraith drifting in swamp fog.,GRUNTS,
151,Fire Jackal,low,1,0,1,2,1,2,0,2,Oversized jackal glowing with molten veins.,GRUNTS,
152,Drowned Archivist,low,1,1,0,1,0,1,0,1,"Scribe drowned and reanimated, scrolls dripping water.",GRUNTS,
153,Obsidian Lion,low,2,0,2,1,1,2,0,2,"Giant lion carved of black stone, animated with fire.",GRUNTS,
154,Taxlord Balash,low,0,3,1,1,1,2,0,2,"Bloated overseer in golden robes, mace and ledger.",GRUNTS,
155,Pit Champion,low,1,1,0,2,3,2,0,2,Massive gladiator scarred from decades in pits.,GRUNTS,
156,Masked King,low,2,0,3,0,0,2,0,2,"Human warlord draped in ceremonial robes, golden mask concealing his scarred face.",GRUNTS,
157,Abyssal Archivist,low,2,1,0,0,1,1,0,1,"Gaunt figure cloaked in scrolls, flesh merging with ink and waterlogged parchment.",GRUNTS,
158,Vowbinder Judge,low,0,1,1,1,2,2,0,2,"Spectral judge draped in glyph chains, half-human, half-wraith.",GRUNTS,
159,Bone Queen,low,0,3,2,0,0,2,0,2,"Monstrous scorpion with skeletal carapace, shrine markings carved into her chitin.",GRUNTS,
160,False Prophet,low,1,1,1,3,0,2,0,2,"Pale cult leader shrouded in burning red robes, staff tipped with ash crystal.",GRUNTS,
161,Enlil Vessel,low,0,2,1,1,0,1,0,1,"Towering figure clad in blackened gold, humanoid frame fused with cuneiform-marked stone.",GRUNTS,
162,Chain Warden,low,0,1,0,2,3,2,0,2,"Hulking figure in tarnished lunar bronze, dragging chains.",GRUNTS,
163,Lash Overseer,low,0,3,1,1,0,2,0,2,Scarred taskmaster wielding lunar whip.,GRUNTS,
164,Bronze Gaoler,low,2,1,3,0,0,2,0,2,"Tower shield and mace, heavy bronze armor.",GRUNTS,
165,Shacklebearer Guard,low,3,1,1,0,2,2,0,2,Emaciated figure carrying manacles.,GRUNTS,
166,Pit Guard,low,0,1,1,1,1,1,0,1,Broad-shouldered guard with spiked helmet.,GRUNTS,
167,Ironbound Horror,low,3,0,0,1,1,2,0,2,Shackled beast with iron plates fused to flesh.,GRUNTS,
168,Screamer Wraith,low,0,0,2,2,1,2,0,2,Ghostly prisoner screaming endlessly.,GRUNTS,
169,Bone Gnawer,low,0,0,0,1,3,2,0,2,Emaciated humanoid gnawing bones.,GRUNTS,
170,Shackled Ghoul,low,2,2,0,1,0,2,0,2,"Pale-skinned, bound in eternal chains.",GRUNTS,
171,Howling Fiend,low,1,1,1,1,0,1,0,1,Bestial prisoner with muzzle broken open.,GRUNTS,
172,Moon Acolyte,low,1,1,0,0,1,1,0,1,"Pale robed initiate, crescent brand on forehead.",GRUNTS,
173,Eclipse Chanter,low,2,0,0,3,1,2,0,2,Hooded priest with eclipse sigil.,GRUNTS,
174,Shadow Knifebearer,low,0,0,0,3,1,2,0,2,"Assassin garbed in black cloth, twin crescent blades.",GRUNTS,
175,Pale Prophet,low,1,1,1,0,0,1,0,1,"Blindfolded priestess, eyes glowing beneath cloth.",GRUNTS,
176,Void Hymnist,low,1,2,1,0,2,2,0,2,Emaciated singer with throat tattooed in runes.,GRUNTS,
177,Moonfang Wolf,low,1,2,0,2,0,2,0,2,Large wolf with pale fur glowing faintly silver.,GRUNTS,
178,Pale Stalker,low,0,1,0,0,2,1,0,1,"Emaciated beast with elongated limbs, pale hide.",GRUNTS,
179,Shardback Boar,low,3,1,0,0,0,2,0,2,Boar with crystalline spines jutting from back.,GRUNTS,
180,Dusk Serpent,low,2,1,2,0,1,2,0,2,Black-scaled serpent with glowing underbelly.,GRUNTS,
181,Chittering Bat,low,2,0,2,0,0,2,0,2,Colony of pale bats swarming from caverns.,GRUNTS,
182,Crater Rat,low,0,1,2,1,2,2,0,2,Oversized rat with glowing red eyes.,GRUNTS,
183,Ash Beetle,low,1,2,0,3,0,2,0,2,Beetle with burning carapace.,GRUNTS,
184,Hollow Tick,low,0,0,2,3,1,2,0,2,Bloated tick filled with pale fluid.,GRUNTS,
185,Fungus Mite,low,1,1,1,2,1,2,0,2,Tiny glowing mites crawling in groups.,GRUNTS,
186,Crystal Louse,low,1,1,1,1,2,2,0,2,Insect with crystalline shell.,GRUNTS,
187,Shackled Wraith,low,1,1,2,0,2,2,0,2,Ghostly prisoner dragging chains.,GRUNTS,
188,Lantern Shade,low,1,0,2,1,1,2,0,2,Shadowy figure carrying a flickering lantern.,GRUNTS,
189,Pale Ghast,low,0,3,1,1,3,3,1,4,Hollow-eyed humanoid glowing faintly.,GRUNTS,
190,Bonebound Spirit,low,1,2,3,1,1,3,1,4,Spirit fused with skeletal remains.,GRUNTS,
191,Eclipse Revenant,low,0,1,0,3,3,3,1,4,"Tall spectral warrior, eclipse carved on helm.",GRUNTS,
192,Pit Fighter,low,1,3,0,2,1,2,0,2,"Scarred slave clad in scraps, wielding spiked club.",GRUNTS,
193,Arena Brute,low,0,1,2,0,2,2,0,2,"Gladiator scarred and chained, wielding club.",GRUNTS,
194,Blood Duelist,low,1,2,0,1,1,2,0,2,"Agile fighter, red-stained blades.",GRUNTS,
195,Masked Slayer,low,0,0,2,0,2,2,0,2,Gladiator with crescent mask and twin axes.,GRUNTS,
196,Slave Champion,low,1,0,1,0,1,1,0,1,Gladiator wielding chained sickles.,GRUNTS,
197,Tunnel Crawler,low,3,2,0,1,1,2,0,2,Pale humanoid with claws adapted for rock.,GRUNTS,
198,Crater Lurker,low,1,2,1,2,0,2,0,2,Hulking brute with crater-stone armor.,GRUNTS,
199,Blind Crawler,low,1,1,0,3,1,2,0,2,"Faceless humanoid, elongated claws.",GRUNTS,
200,Spore Drudge,low,1,0,2,0,0,1,0,1,Slave infected with glowing fungi.,GRUNTS,
201,Rockgnasher Beast,low,2,2,1,1,0,2,0,2,Beast with stony hide and crystalline teeth.,GRUNTS,
202,Silver Rat,low,1,3,1,1,2,3,1,4,Rat with shimmering silver fur.,GRUNTS,
203,Glow Beetle,low,0,0,2,2,1,2,0,2,Luminescent beetle glowing blue.,GRUNTS,
204,Crystal Wasp,low,0,3,2,0,1,2,0,2,Wasp with crystal stinger.,GRUNTS,
205,Ash Spiderling,low,0,1,0,1,2,1,0,1,Small spider covered in lunar ash.,GRUNTS,
206,Void Leech,low,1,1,1,1,1,1,0,1,Wormlike parasite glowing black.,GRUNTS,
207,Bronze Sentinel,low,2,1,1,2,0,2,0,2,Animated statue clad in bronze.,GRUNTS,
208,Moon Idol,low,0,1,2,1,1,2,0,2,"Statue of crescent moon, animated with runes.",GRUNTS,
209,Chain Automaton,low,1,0,2,2,1,2,0,2,Construct covered in rattling chains.,GRUNTS,
210,Eclipse Drone,low,3,1,0,0,2,2,0,2,Small flying orb glowing with eclipse runes.,GRUNTS,
211,Void Obelisk,low,1,2,1,2,0,2,0,2,Shard of a fallen obelisk animated by void.,GRUNTS,
212,Rune Husk,low,2,0,2,0,1,2,0,2,"Corpse branded with cracked glyphs, glowing faintly.",GRUNTS,
213,Oath Spawn,low,0,1,1,3,1,2,0,2,Mutated being covered in vow-scars.,GRUNTS,
214,Halo Spawn,low,0,3,2,0,1,2,0,2,Twisted humanoid crowned with broken halo.,GRUNTS,
215,Ash Horror,low,1,2,1,1,1,2,0,2,"Body of ash and smoke, burning eyes.",GRUNTS,
216,Void Thrall,low,0,0,2,2,0,2,0,2,Hollow figure radiating void flame.,GRUNTS,
217,Broken Scribe,low,1,3,1,2,1,3,1,4,Scribe with cracked slate body.,GRUNTS,
218,Fallen Priest,low,3,0,0,1,2,2,0,2,"Priest with broken staff, robes torn.",GRUNTS,
219,Exiled Gladiator,low,2,0,2,0,0,2,0,2,Scarred fighter in broken armor.,GRUNTS,
220,Chain Drudge,low,2,0,0,1,0,1,0,1,Shackled slave covered in wounds.,GRUNTS,
221,Ash Servitor,low,1,2,0,1,2,2,0,2,"Cloaked in ash veil, broken censer.",GRUNTS,
222,Gold Spider,low,2,1,3,0,1,2,0,2,Spider with golden carapace.,GRUNTS,
223,Rune Centipede,low,0,1,2,0,3,2,0,2,Long centipede glowing with glyphs.,GRUNTS,
224,Ash Locust,low,0,3,0,2,0,2,0,2,Swarm insect glowing with embers.,GRUNTS,
225,Crystal Gnat,low,3,1,1,2,1,3,1,4,Tiny insect with crystal wings.,GRUNTS,
226,Glyph Ghoul,low,2,1,3,1,1,3,1,4,Corpse covered in glowing runes.,GRUNTS,
227,Ash Phantom,low,0,0,2,2,1,2,0,2,Knight glowing with burning ash aura.,GRUNTS,
228,Halo Husk,low,1,0,0,0,3,2,0,2,Broken warrior crowned with false halo.,GRUNTS,
229,Void Horror,low,3,0,1,0,0,2,0,2,Amorphous mass of black fire.,GRUNTS,
230,Rune Horror,low,0,1,2,3,1,2,0,2,Monstrous figure carved with glowing glyphs.,GRUNTS,
231,Red Lash,low,0,2,0,2,0,2,0,2,Bronze-skinned slaver with crimson whip.,MARS BESTIARY,
232,Sand Pike,low,1,3,1,0,2,2,0,2,"Spearman in ochre armor, desert-worn.",MARS BESTIARY,
233,Chain Driver,low,3,2,1,0,1,2,0,2,Enforcer dragging spiked chains.,MARS BESTIARY,
234,Bronze Overseer,low,2,0,3,0,1,2,0,2,Bulky taskmaster clad in bronze.,MARS BESTIARY,
235,Crimson Guard,low,3,1,1,1,0,2,0,2,Red-plated guard with tower shield.,MARS BESTIARY,
236,Sand Raider,low,0,1,1,0,1,1,0,1,Ragged bandit with curved scimitar.,MARS BESTIARY,
237,Dune Rider,low,1,1,3,1,0,2,0,2,Raider mounted on reptilian beast.,MARS BESTIARY,
238,Ash Nomad,low,0,1,3,1,1,2,0,2,"Cloaked in ash robes, wielding daggers.",MARS BESTIARY,
239,Blood Dervish,low,0,3,0,0,2,2,0,2,"Warrior spinning dual blades, crimson tattoos.",MARS BESTIARY,
240,Carrion Jackal,low,0,3,2,0,1,2,0,2,Beast-rider cloaked in bones.,MARS BESTIARY,
241,Pit Thrall,low,0,1,3,0,1,2,0,2,Emaciated fighter in shackles.,MARS BESTIARY,
242,Masked Gladiator,low,0,1,1,2,0,1,0,1,Fighter wearing bone mask.,MARS BESTIARY,
243,Blood Slave,low,0,1,0,2,1,1,0,1,"Covered in red tattoos, blood dripping.",MARS BESTIARY,
244,Chain Duelist,low,1,2,1,2,0,2,0,2,Gladiator wielding chained sickles.,MARS BESTIARY,
245,Red Jackal,low,2,0,0,1,2,2,0,2,Desert jackal with crimson fur.,MARS BESTIARY,
246,Scaled Vulture,low,1,2,3,0,0,2,0,2,Vulture with scale-covered wings.,MARS BESTIARY,
247,Sand Basilisk,low,1,0,1,1,2,2,0,2,Lizard with golden scales.,MARS BESTIARY,
248,Dune Hyena,low,0,1,2,0,1,1,0,1,Mangy hyena with glowing eyes.,MARS BESTIARY,
249,Red Rat,low,1,0,2,3,1,2,0,2,"Rat with crimson fur, glowing eyes.",MARS BESTIARY,
250,Bone Tick,low,2,2,0,0,0,2,0,2,Bloated tick with bone armor.,MARS BESTIARY,
251,Dust Spider,low,0,0,2,0,2,2,0,2,Large spider covered in dust.,MARS BESTIARY,
252,Carrion Bat,low,1,1,1,2,2,2,0,2,"Bat with torn wings, feeding on corpses.",MARS BESTIARY,
253,Canyon Lurker,low,0,2,1,1,0,1,0,1,"Humanoid with rocky skin, camouflaged against cliffs.",MARS BESTIARY,
254,Cliff Raider,low,0,1,0,0,2,1,0,1,Raider with grappling hooks.,MARS BESTIARY,
255,Dust Crawler,low,0,1,3,1,1,2,0,2,Pale crawler adapted to desert floors.,MARS BESTIARY,
256,Rock Breaker,low,2,3,1,0,1,2,0,2,Miner-slave wielding pickaxe.,MARS BESTIARY,
257,Ash Ghoul,low,0,2,1,1,1,2,0,2,Charred corpse with glowing eyes.,MARS BESTIARY,
