card_id,name,card_family,unit_rank,section,rarity,duality,stone,wind,veil,oath,eye,weight,upkeep,initiative_label,initiative_value,guard,first_strike,rules_text,lore_text,id,created_date,updated_date,created_by_id,created_by,is_sample
26,"Glyph Knight, the Rune King",boss,major_boss,Kingdom-bosses,super,Stone/Eye,11,5,6,6,9,4,27,Standard Initiative,5,5,5,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17172,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
25,"Halo Paladin, the Radiant Lord",boss,major_boss,Kingdom-bosses,super,Wind/Oath,4,10,5,9,6,4,24,Heroic Initiative,9,4,6,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17173,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
24,"Idol Colossus, the Living God",boss,major_boss,Kingdom-bosses,super,Veil/Oath,6,5,12,8,5,4,27,Standard Initiative,5,4,4,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17174,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
23,"Marsh Leviathan, the Drowned Queen",boss,major_boss,Kingdom-bosses,super,Eye/Oath,5,5,6,9,11,4,26,Heroic Initiative,9,4,6,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17175,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
22,"Masked Champion, the Golden Face",boss,major_boss,Kingdom-bosses,super,Wind/Oath,5,12,5,8,6,4,27,Heroic Initiative,9,4,6,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17176,2026-04-05T21:41:56.211000,2026-04-05T21:41:56.211000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
21,"Oath Champion, the Covenant King",boss,major_boss,Kingdom-bosses,super,Veil/Wind,5,9,9,4,4,4,20,Standard Initiative,5,3,5,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17177,2026-04-05T21:41:56.212000,2026-04-05T21:41:56.212000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
20,"Obsidian Berserker, the Black King",boss,major_boss,Kingdom-bosses,super,Oath/Wind,5,9,5,12,6,4,28,Standard Initiative,5,5,5,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17178,2026-04-05T21:41:56.212000,2026-04-05T21:41:56.212000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
19,"Pharaoh of Chains, the Eternal",boss,major_boss,Kingdom-bosses,super,Veil/Wind,4,8,9,4,6,4,20,Standard Initiative,5,3,5,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17179,2026-04-05T21:41:56.212000,2026-04-05T21:41:56.212000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
18,"River Titan, the Flood King",boss,major_boss,Kingdom-bosses,super,Wind/Veil,6,9,8,5,5,4,21,Standard Initiative,5,4,5,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1717a,2026-04-05T21:41:56.212000,2026-04-05T21:41:56.212000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
17,"Sandstorm Khan, the Desert Lord",boss,major_boss,Kingdom-bosses,super,Oath/Wind,5,9,4,10,6,4,24,Standard Initiative,5,4,5,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1717b,2026-04-05T21:41:56.212000,2026-04-05T21:41:56.212000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
16,"Void Augur, the Hollow Prophet",boss,major_boss,Kingdom-bosses,super,Veil/Stone,8,5,11,6,5,4,25,Standard Initiative,5,4,4,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1717c,2026-04-05T21:41:56.212000,2026-04-05T21:41:56.212000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
152,Arena Juggernaut King,boss,major_boss,Major-bosses,super,Oath/Veil,6,6,9,11,6,4,28,Standard Initiative,5,5,4,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 4
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170f4,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
151,Ash Binder Lord,boss,major_boss,Major-bosses,super,Veil/Stone,11,5,12,4,5,4,30,Standard Initiative,5,4,4,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170f5,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
150,Ash Bishop Queen,boss,major_boss,Major-bosses,super,Eye/Stone,9,5,5,6,10,4,24,Standard Initiative,5,4,5,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170f6,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
149,Ash Demon Lord,boss,major_boss,Major-bosses,super,Eye/Stone,9,4,5,5,11,4,24,Standard Initiative,5,4,5,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170f7,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
148,Ash Gladiator Lord King,boss,major_boss,Major-bosses,super,Veil/Eye,5,4,11,6,9,4,25,Standard Initiative,5,4,5,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Shrouded on entry; adjacent enemies −1 accuracy; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170f8,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
147,Ash Hierarch Lord,boss,major_boss,Major-bosses,super,Veil/Eye,6,5,10,4,8,4,22,Standard Initiative,5,3,5,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Shrouded on entry; adjacent enemies −1 accuracy; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170f9,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
146,Ash High Priest King,boss,major_boss,Major-bosses,super,Eye/Stone,9,5,5,5,11,4,25,Heroic Initiative,9,4,6,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170fa,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
145,Ash Leviathan King,boss,major_boss,Major-bosses,super,Stone/Veil,11,4,8,5,5,4,23,Basic Initiative,3,5,3,"Basic Initiative (3)
🛡️ Guard 5 • ⚔️ First Strike 3
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170fb,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
144,Ash Lord King,boss,major_boss,Major-bosses,super,Stone/Eye,12,6,4,5,11,4,31,Heroic Initiative,9,5,6,"Heroic Initiative (9)
🛡️ Guard 5 • ⚔️ First Strike 6
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170fc,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
143,Ash Nomad Chieftain King,boss,major_boss,Major-bosses,super,Oath/Wind,5,8,6,8,5,4,20,Standard Initiative,5,4,5,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170fd,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
142,Ash Oracle Queen,boss,major_boss,Major-bosses,super,Eye/Oath,4,5,5,9,11,4,24,Heroic Initiative,9,4,6,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170fe,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
141,Ash Priest King,boss,major_boss,Major-bosses,super,Oath/Stone,10,6,5,11,4,4,27,Standard Initiative,5,6,4,"Standard Initiative (5)
🛡️ Guard 6 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe170ff,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
140,Ash Titan King,boss,major_boss,Major-bosses,super,Wind/Veil,5,11,10,5,5,4,27,Heroic Initiative,9,3,6,"Heroic Initiative (9)
🛡️ Guard 3 • ⚔️ First Strike 6
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17100,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
139,Ashen Oracle Queen,boss,major_boss,Major-bosses,super,Veil/Stone,10,5,12,6,5,4,30,Standard Initiative,5,5,4,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17101,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
138,Blade Dancer Lord,boss,major_boss,Major-bosses,super,Veil/Eye,5,5,12,5,11,4,31,Heroic Initiative,9,3,6,"Heroic Initiative (9)
🛡️ Guard 3 • ⚔️ First Strike 6
Shrouded on entry; adjacent enemies −1 accuracy; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17102,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
137,Blood Arena Lord King,boss,major_boss,Major-bosses,super,Oath/Wind,6,11,5,11,5,4,30,Heroic Initiative,9,5,6,"Heroic Initiative (9)
🛡️ Guard 5 • ⚔️ First Strike 6
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17103,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
136,Blood Hierophant Lord,boss,major_boss,Major-bosses,super,Oath/Veil,5,4,10,12,4,4,27,Basic Initiative,3,5,3,"Basic Initiative (3)
🛡️ Guard 5 • ⚔️ First Strike 3
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17104,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
135,Blood Matron Queen,boss,major_boss,Major-bosses,super,Stone/Eye,11,5,5,5,10,4,27,Standard Initiative,5,5,5,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17105,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
134,Blood Moon Prophet Lord,boss,major_boss,Major-bosses,super,Veil/Wind,6,9,9,4,6,4,23,Standard Initiative,5,3,5,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17106,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
133,Blood Oracle Lord,boss,major_boss,Major-bosses,super,Veil/Wind,5,9,11,5,5,4,25,Standard Initiative,5,3,5,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17107,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
132,Blood Prophet King,boss,major_boss,Major-bosses,super,Stone/Eye,11,4,6,6,10,4,28,Standard Initiative,5,5,5,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17108,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
131,Bloodspiller Lord,boss,major_boss,Major-bosses,super,Veil/Eye,4,6,12,4,9,4,27,Standard Initiative,5,3,5,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Shrouded on entry; adjacent enemies −1 accuracy; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17109,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
130,Bone Chariot Lord,boss,major_boss,Major-bosses,super,Eye/Oath,5,5,6,10,10,4,26,Standard Initiative,5,4,5,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1710a,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
129,Bone Chieftain King,boss,major_boss,Major-bosses,super,Eye/Veil,4,5,8,4,9,4,19,Standard Initiative,5,3,5,"Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 5
Shrouded on entry; adjacent enemies −1 accuracy; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1710b,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
128,Bone Colossus King,boss,major_boss,Major-bosses,super,Veil/Wind,5,10,12,6,5,4,30,Standard Initiative,5,4,5,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1710c,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
127,Bone Gladiator King,boss,major_boss,Major-bosses,super,Eye/Wind,4,10,5,5,10,4,24,Heroic Initiative,9,3,7,"Heroic Initiative (9)
🛡️ Guard 3 • ⚔️ First Strike 7
Acts early; +1 range on the opening turn; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1710d,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
126,Bone Raider Lord King,boss,major_boss,Major-bosses,super,Wind/Eye,5,11,5,6,10,4,28,Heroic Initiative,9,4,7,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 7
Acts early; +1 range on the opening turn; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1710e,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
125,Bonebreaker Lord,boss,major_boss,Major-bosses,super,Veil/Oath,5,5,11,8,4,4,23,Basic Initiative,3,4,3,"Basic Initiative (3)
🛡️ Guard 4 • ⚔️ First Strike 3
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe1710f,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
124,Bronze Juggernaut,boss,major_boss,Major-bosses,super,Oath/Wind,5,9,6,11,6,4,27,Standard Initiative,5,5,5,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 5
Acts early; +1 range on the opening turn; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17110,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
123,Bronze Pitlord King,boss,major_boss,Major-bosses,super,Stone/Oath,11,5,4,10,6,4,27,Standard Initiative,5,6,4,"Standard Initiative (5)
🛡️ Guard 6 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17111,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
122,Canyon Lord King,boss,major_boss,Major-bosses,super,Stone/Wind,9,8,5,6,4,4,20,Standard Initiative,5,4,4,"Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Acts early; +1 range on the opening turn; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17112,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
121,Canyon Marauder King Lord,boss,major_boss,Major-bosses,super,Eye/Stone,10,6,4,5,11,4,27,Heroic Initiative,9,4,6,"Heroic Initiative (9)
🛡️ Guard 4 • ⚔️ First Strike 6
Reduces first incoming hit by 40%; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17113,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
120,Chain Hierophant Lord,boss,major_boss,Major-bosses,super,Oath/Veil,5,5,9,12,4,4,26,Basic Initiative,3,5,3,"Basic Initiative (3)
🛡️ Guard 5 • ⚔️ First Strike 3
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17114,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
119,Chain Marshal Lord,boss,major_boss,Major-bosses,super,Oath/Stone,9,6,4,9,5,4,22,Standard Initiative,5,5,4,"Standard Initiative (5)
🛡️ Guard 5 • ⚔️ First Strike 4
Reduces first incoming hit by 40%; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.",,69d2d7247a6810a05fe17115,2026-04-05T21:41:56.060000,2026-04-05T21:41:56.060000,68bff81f48f15a98086cc8dd,michaelrobertucci@gmail.com,False
